Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual Information
All,WhatsApp Channels,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,Total number,"578,465",
All,WhatsApp Channels,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,Total number,"410,289",
All,WhatsApp Channels,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,Total number,,
All,WhatsApp Channels,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,Total number,0.98,"Precision reflects the percentage of all automated restrictions that weren’t later restored.

Restriction overturns are captured up until 1 month after the reporting window ended (i.e. end of  July 2026). There may be a small portion of overturns that take place after 31 July 2026 that are not captured because they extend beyond the time period in which it is feasible to produce and verify the data points for this report. "
All,WhatsApp Channels,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,Total number,,
All,WhatsApp Channels,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,own initiative ,"578,465",
All,WhatsApp Channels,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,own initiative ,"410,229",
All,WhatsApp Channels,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,own initiative ,,
All,WhatsApp Channels,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,own initiative ,0.98,"Precision reflects the percentage of all automated restrictions that weren’t later restored.

Restriction overturns are captured up until 1 month after the reporting window ends (i.e., end of July 2026). There may be a small portion of overturns that take place after 31 July 2026 that are not captured because they extend beyond the time period in which it is feasible to produce and verify the data points for this report."
All,WhatsApp Channels,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,own initiative ,,
"Only for providers of hosting services, including online platforms",WhatsApp Channels,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of notices solely processed by automated means ,NAM Total,0,"All Article 16 DSA notices, including Trusted Flaggers notices, are processed using manual review. Instances of duplicate submissions are handled by applying the original manual decision, to avoid conflicting decisions. "
"Only for providers of hosting services, including online platforms",WhatsApp Channels,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of notices not processed by automated means,NAM Total,60,"All Article 16 DSA notices, including Trusted Flaggers notices, are processed using manual review. Instances of duplicate submissions are handled by applying the original manual decision, to avoid conflicting decisions. "
"Only for providers of hosting services, including online platforms",WhatsApp Channels,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,NAM Total,,"All Article 16 DSA notices, including Trusted Flaggers notices, are processed using manual review. Instances of duplicate submissions are handled by applying the original manual decision, to avoid conflicting decisions. "
"Only for providers of hosting services, including online platforms",WhatsApp Channels,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,NAM Total,,"All Article 16 DSA notices, including Trusted Flaggers notices, are processed using manual review. Instances of duplicate submissions are handled by applying the original manual decision, to avoid conflicting decisions. "
"Only for providers of hosting services, including online platforms",WhatsApp Channels,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,NAM Total,,"All Article 16 DSA notices, including Trusted Flaggers notices, are processed using manual review. Instances of duplicate submissions are handled by applying the original manual decision, to avoid conflicting decisions. "
Only for providers of online platforms,WhatsApp Channels,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of notices solely processed by automated means ,NAM Trusted Flagger,0,"All Article 16 DSA notices, including Trusted Flaggers notices, are processed using manual review. Instances of duplicate submissions are handled by applying the original manual decision, to avoid conflicting decisions. "
Only for providers of online platforms,WhatsApp Channels,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of notices not processed by automated means,NAM Trusted Flagger,0,"All Article 16 DSA notices, including Trusted Flaggers notices, are processed using manual review. Instances of duplicate submissions are handled by applying the original manual decision, to avoid conflicting decisions. "
Only for providers of online platforms,WhatsApp Channels,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,NAM Trusted Flagger,,"All Article 16 DSA notices, including Trusted Flaggers notices, are processed using manual review. Instances of duplicate submissions are handled by applying the original manual decision, to avoid conflicting decisions. "
Only for providers of online platforms,WhatsApp Channels,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,NAM Trusted Flagger,,"All Article 16 DSA notices, including Trusted Flaggers notices, are processed using manual review. Instances of duplicate submissions are handled by applying the original manual decision, to avoid conflicting decisions. "
Only for providers of online platforms,WhatsApp Channels,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,NAM Trusted Flagger,,"All Article 16 DSA notices, including Trusted Flaggers notices, are processed using manual review. Instances of duplicate submissions are handled by applying the original manual decision, to avoid conflicting decisions. "
Only for VLOPs,WhatsApp Channels,2026-01-26/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,bg,,"Our content review team is global and reviews WhatsApp Channels content using a language-agnostic model, relying on translation systems to enable reviewers to assess content across languages"
Only for VLOPs,WhatsApp Channels,2026-01-26/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,bg,,"Our content review team is global and reviews WhatsApp Channels content using a language-agnostic model, relying on translation systems to enable reviewers to assess content across languages"
Only for VLOPs,WhatsApp Channels,2026-01-26/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,bg,,"Our content review team is global and reviews WhatsApp Channels content using a language-agnostic model, relying on translation systems to enable reviewers to assess content across languages"
Only for VLOPs,WhatsApp Channels,2026-01-26/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,cs,,"Our content review team is global and reviews WhatsApp Channels content using a language-agnostic model, relying on translation systems to enable reviewers to assess content across languages"
Only for VLOPs,WhatsApp Channels,2026-01-26/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,cs,,"Our content review team is global and reviews WhatsApp Channels content using a language-agnostic model, relying on translation systems to enable reviewers to assess content across languages"
Only for VLOPs,WhatsApp Channels,2026-01-26/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,cs,,"Our content review team is global and reviews WhatsApp Channels content using a language-agnostic model, relying on translation systems to enable reviewers to assess content across languages"
Only for VLOPs,WhatsApp Channels,2026-01-26/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,da,,"Our content review team is global and reviews WhatsApp Channels content using a language-agnostic model, relying on translation systems to enable reviewers to assess content across languages"
Only for VLOPs,WhatsApp Channels,2026-01-26/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,da,,"Our content review team is global and reviews WhatsApp Channels content using a language-agnostic model, relying on translation systems to enable reviewers to assess content across languages"
Only for VLOPs,WhatsApp Channels,2026-01-26/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,da,,"Our content review team is global and reviews WhatsApp Channels content using a language-agnostic model, relying on translation systems to enable reviewers to assess content across languages"
Only for VLOPs,WhatsApp Channels,2026-01-26/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,de,,"Our content review team is global and reviews WhatsApp Channels content using a language-agnostic model, relying on translation systems to enable reviewers to assess content across languages"
Only for VLOPs,WhatsApp Channels,2026-01-26/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,de,,"Our content review team is global and reviews WhatsApp Channels content using a language-agnostic model, relying on translation systems to enable reviewers to assess content across languages"
Only for VLOPs,WhatsApp Channels,2026-01-26/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,de,,"Our content review team is global and reviews WhatsApp Channels content using a language-agnostic model, relying on translation systems to enable reviewers to assess content across languages"
Only for VLOPs,WhatsApp Channels,2026-01-26/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,el,,"Our content review team is global and reviews WhatsApp Channels content using a language-agnostic model, relying on translation systems to enable reviewers to assess content across languages"
Only for VLOPs,WhatsApp Channels,2026-01-26/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,el,,"Our content review team is global and reviews WhatsApp Channels content using a language-agnostic model, relying on translation systems to enable reviewers to assess content across languages"
Only for VLOPs,WhatsApp Channels,2026-01-26/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,el,,"Our content review team is global and reviews WhatsApp Channels content using a language-agnostic model, relying on translation systems to enable reviewers to assess content across languages"
Only for VLOPs,WhatsApp Channels,2026-01-26/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,en,,"Our content review team is global and reviews WhatsApp Channels content using a language-agnostic model, relying on translation systems to enable reviewers to assess content across languages"
Only for VLOPs,WhatsApp Channels,2026-01-26/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,en,,"Our content review team is global and reviews WhatsApp Channels content using a language-agnostic model, relying on translation systems to enable reviewers to assess content across languages"
Only for VLOPs,WhatsApp Channels,2026-01-26/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,en,,"Our content review team is global and reviews WhatsApp Channels content using a language-agnostic model, relying on translation systems to enable reviewers to assess content across languages"
Only for VLOPs,WhatsApp Channels,2026-01-26/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,es,,"Our content review team is global and reviews WhatsApp Channels content using a language-agnostic model, relying on translation systems to enable reviewers to assess content across languages"
Only for VLOPs,WhatsApp Channels,2026-01-26/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,es,,"Our content review team is global and reviews WhatsApp Channels content using a language-agnostic model, relying on translation systems to enable reviewers to assess content across languages"
Only for VLOPs,WhatsApp Channels,2026-01-26/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,es,,"Our content review team is global and reviews WhatsApp Channels content using a language-agnostic model, relying on translation systems to enable reviewers to assess content across languages"
Only for VLOPs,WhatsApp Channels,2026-01-26/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,et,,"Our content review team is global and reviews WhatsApp Channels content using a language-agnostic model, relying on translation systems to enable reviewers to assess content across languages"
Only for VLOPs,WhatsApp Channels,2026-01-26/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,et,,"Our content review team is global and reviews WhatsApp Channels content using a language-agnostic model, relying on translation systems to enable reviewers to assess content across languages"
Only for VLOPs,WhatsApp Channels,2026-01-26/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,et,,"Our content review team is global and reviews WhatsApp Channels content using a language-agnostic model, relying on translation systems to enable reviewers to assess content across languages"
